Date,Close,High,Low,Open,Volume
,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
2002-07-01,-0.010442906990647316,-0.010742449665600206,-0.010225590570177497,-0.010454655947699962,1080397
2002-07-02,-0.010525131598114967,-0.010660222668293067,-0.010395919574077267,-0.010624976713195879,1016147
2002-07-03,-0.010525131598114967,-0.010630854845731593,-0.010460525129293775,-0.010513383555485693,980394
2002-07-04,-0.010583870112895966,-0.010742450902407866,-0.010572121154490629,-0.010572121154490629,972747
2002-07-05,-0.010560370981693268,-0.010642604545025629,-0.010519262422469816,-0.010642604545025629,974496
2002-07-08,-0.011024373583495617,-0.011147715717492259,-0.010460526829926846,-0.010689593142333035,1061686
2002-07-09,-0.01073658000677824,-0.011041993538986257,-0.01066609539285985,-0.010983256969790828,1024719
2002-07-10,-0.010724829509854317,-0.010807055761465473,-0.010630855215205584,-0.010807055761465473,946638
2002-07-11,-0.01054863166064024,-0.011106600303732249,-0.010519263832092916,-0.011106600303732249,968220
2002-07-12,-0.010630856268107891,-0.010754199312159641,-0.01057212061512629,-0.010666094919082433,967763
2002-07-15,-0.010413539595901966,-0.010566249549352438,-0.010372422812544172,-0.010513384722061796,974157
2002-07-16,-0.010507514700293541,-0.010583870139653324,-0.010454657177803835,-0.010454657177803835,959138
2002-07-17,-0.01042528823018074,-0.010513384396071322,-0.010395920405271195,-0.010513384396071322,955902
2002-07-18,-0.01054863166064024,-0.010707212453166567,-0.010460527261393399,-0.010707212453166567,958081
2002-07-19,-0.010507514700293541,-0.01063085683734493,-0.010401791432870434,-0.01063085683734493,1022018
2002-07-22,-0.010260830633342266,-0.010554502524670323,-0.010190353326196586,-0.010337185160638683,959229
2002-07-23,-0.010260830633342266,-0.010448779255112816,-0.009984777611998192,-0.009984777611998192,950108
2002-07-24,-0.00999065488576889,-0.01029606748703573,-0.00999065488576889,-0.010160984622893655,1004507
2002-07-25,-0.010084628127515316,-0.01043702829990496,-0.009926047364736453,-0.010278447537126097,929688
2002-07-26,-0.00977333914488554,-0.009837945626120106,-0.009702854529985845,-0.009837945626120106,934529
2002-07-29,-0.009532530792057514,-0.00992604775956309,-0.009415059495231505,-0.00992604775956309,955236
2002-07-30,-0.009426809847354889,-0.009926050190674237,-0.00939744201595555,-0.009926050190674237,972108
2002-07-31,-0.00933870580047369,-0.0095736420425297,-0.009162505217740265,-0.0095736420425297,961513
