Date,Close,High,Low,Open,Volume
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
2002-07-01,149.1287841796875,151.58760381569866,146.57447046116374,148.86618273795347,113852
2002-07-02,150.58494567871094,154.21350157091993,149.67781034824583,150.29847805584075,166016
2002-07-03,150.0836639404297,153.97480731986937,148.9616740582922,150.99079942607344,196486
2002-07-04,151.89796447753906,152.70962061077486,151.22954949329693,151.22954949329693,233997
2002-07-05,154.71487426757812,157.55565632336862,152.73349544303701,152.73349544303701,472596
2002-07-08,161.78099060058594,162.33004519231298,156.6007494796431,158.03307340781058,317179
2002-07-09,160.7305450439453,164.1919930543288,158.9878879252008,161.99576105780935,456642
2002-07-10,157.31690979003906,161.37516087718726,156.6007478334835,160.7067459651392,98892
2002-07-11,154.4044647216797,157.55557922015225,153.85541031422443,157.55557922015225,68794
2002-07-12,156.5768585205078,158.51048969009327,155.64584228605545,156.02778944512042,63190
2002-07-15,153.09152221679688,156.98266519331347,152.3037471284781,156.60071805059818,87809
2002-07-16,150.39398193359375,153.23476297603477,149.91654072110614,152.06502617730035,47189
2002-07-17,146.9325408935547,151.77856654185533,145.61957748995673,149.96429566684188,122953
2002-07-18,149.08102416992188,150.3939875533239,146.81317832586382,147.09964597813064,173079
2002-07-19,146.69381713867188,149.91654542406172,143.23236823954943,143.23236823954943,84246
2002-07-22,144.1395263671875,146.90869466498447,142.85044359214348,144.18727341152666,103234
2002-07-23,146.1448211669922,147.5771454229829,142.3014090045369,143.23242559907322,78746
2002-07-24,142.77882385253906,147.88745190968308,141.29876738640016,146.57448825269637,189959
2002-07-25,137.1449737548828,148.96164251183095,135.85587678962202,148.96164251183095,266291
2002-07-26,132.96739196777344,138.3147399504527,131.84540208377769,136.21398673346016,178532
2002-07-29,130.8188934326172,134.59067613211542,117.47441287709138,133.6357936983007,386909
2002-07-30,132.0124969482422,137.9805121809837,131.3440821562451,133.68354121340982,254176
2002-07-31,127.5245590209961,129.86401819949035,121.7475170620222,121.7475170620222,325601
2002-08-01,125.47156524658203,133.6358142237337,121.86688933342081,128.43170707420254,438415
2002-08-02,128.4316864013672,129.84014380900155,121.98623002062943,124.13471548087536,229465
2002-08-05,131.8931427001953,133.73129439035858,129.76852335163574,129.76852335163574,297447
2002-08-06,133.44482421875,136.02300395506012,129.91176201933612,132.44219471842104,184716
2002-08-07,130.53245544433594,136.0230306861855,129.864040502877,134.63845375665926,164013
2002-08-08,130.9143829345703,133.20609486759355,129.86400646589766,131.67827719867864,166449
2002-08-09,131.53506469726562,132.72866782519,130.34146156934125,132.72866782519,94358
2002-08-12,135.4500732421875,137.02562336211403,131.29632900550996,132.1079848675018,182823
2002-08-13,136.4049835205078,137.50309266853938,133.9938962436573,136.47659680053562,156701
2002-08-14,142.6117401123047,143.4711287324774,133.30163358889934,133.30163358889934,650771
2002-08-15,142.6117401123047,142.6117401123047,142.6117401123047,142.6117401123047,0
2002-08-16,143.5188446044922,146.09702447527988,141.82391940186585,142.75493568009375,762266
2002-08-19,143.0653076171875,147.290666774214,142.2775322486735,144.66473916559755,487314
2002-08-20,140.43936157226562,145.02280116513552,139.4128656468134,143.30400949651522,259312
2002-08-21,135.0919952392578,141.08387655410988,134.4235658937203,140.7974089160723,206978
2002-08-22,132.7287139892578,136.95407344579274,132.25127257203027,135.59336249262307,203546
2002-08-23,130.9621124267578,135.06810956974525,129.86400351925656,134.8771360080514,194880
2002-08-26,132.48997497558594,134.590714007074,130.34148889490075,130.77118319696703,169296
2002-08-27,128.95689392089844,134.6384422951704,128.67042623598732,134.6384422951704,164835
2002-08-28,130.6995391845703,131.2963407333583,123.657280908872,123.657280908872,88618
2002-08-29,126.73677062988281,133.11059890618333,126.04447507123834,132.48993118283576,404807
2002-08-30,128.4316864013672,129.72078350565457,127.71552458128522,128.4316864013672,204888
2002-09-02,128.57493591308594,131.29635714384466,127.285853148794,131.29635714384466,310499
2002-09-03,130.8188934326172,131.29633464952457,129.10010213768075,130.8188934326172,117646
2002-09-04,130.41310119628906,130.81892925586155,127.95428116996676,130.10276723438784,125061
2002-09-05,131.3440704345703,132.25120575492068,130.74726896455712,131.2963234028996,245777
2002-09-06,133.6357879638672,134.9726320560524,130.9382481181644,131.6782761444757,283714
2002-09-09,131.8453826904297,133.68353419974596,130.86663407174967,133.68353419974596,251963
2002-09-10,131.8453826904297,131.8453826904297,131.8453826904297,131.8453826904297,0
2002-09-11,134.23260498046875,136.07075671329747,131.773785448667,132.63317387345282,295020
2002-09-12,133.2777099609375,135.54555569318285,131.82152010837234,134.94875418469724,124554
2002-09-13,131.8931427001953,133.68354735223414,131.53506176978755,133.20610611169047,53643
2002-09-16,131.3440704345703,133.08672781293913,131.08146904555548,132.7525131615924,28733
2002-09-17,130.84275817871094,131.29633315775934,130.43694480523015,131.29633315775934,50392
2002-09-18,127.21421813964844,131.65441563106958,125.7580136851095,131.2008406466305,142897
2002-09-19,121.03131103515625,129.38652974567,119.5989878276396,128.95683569748402,356542
2002-09-20,123.41853332519531,126.52190070087721,112.34190045671927,120.31516594951343,584092
2002-09-23,126.85616302490234,127.59619123385194,124.1347417055248,124.1347417055248,406385
2002-09-24,129.10009765625,131.29633009185633,125.08959448751403,125.37606212178427,405272
2002-09-25,129.50595092773438,131.79766330955903,126.52194284184188,128.43170801681308,275355
2002-09-26,127.5245590209961,133.2061069031537,126.76065011751723,130.72340660943505,147471
2002-09-27,128.45556640625,129.74466364874783,127.14260292866378,128.81364735468262,142003
2002-09-30,124.20633697509766,129.1239905409037,123.2992015236501,128.9091361525093,290964
2002-10-01,118.69187927246094,125.75800284940684,118.21443809644167,124.15857199567259,289011
2002-10-02,118.69187927246094,118.69187927246094,118.69187927246094,118.69187927246094,0
2002-10-03,111.43476104736328,121.03133103780297,110.57537280896169,120.26742228680847,670186
2002-10-04,114.99170684814453,115.51688775554328,111.7928452327589,112.67611429703834,554248
2002-10-07,116.97311401367188,117.83250977774625,115.18270920734015,115.18270920734015,113959
2002-10-08,118.04737091064453,118.69191963150739,116.54343360886674,117.42669571373523,88763
2002-10-09,124.94636535644531,126.64127575423426,118.38154170323801,118.38154170323801,509699
2002-10-10,128.36009216308594,130.72341777751478,121.29395970033967,123.1798513157747,738387
2002-10-11,123.41853332519531,127.42903594277634,122.51139808329619,125.99671253861547,360309
2002-10-14,123.96762084960938,126.5219345171388,123.37081927169835,125.47155791187498,97833
2002-10-15,123.96762084960938,123.96762084960938,123.96762084960938,123.96762084960938,0
2002-10-16,118.47700500488281,126.4980241562719,117.92795065879969,124.13468490399967,262570
2002-10-17,114.01301574707031,121.0314033606524,112.24648390061714,119.26487151419921,512707
2002-10-18,122.12947082519531,123.1320930595364,116.47178920896458,117.02085100686165,810791
2002-10-21,120.4345474243164,126.37869642562869,119.81387238293412,122.75014024922058,478714
2002-10-22,112.84324645996094,121.27008191519457,110.76637403277614,110.76637403277614,629830
2002-10-23,111.10060119628906,117.18797843664096,110.14571849192014,113.94137578475123,727425
2002-10-24,113.48780822753906,114.53817774781147,112.00774440334784,112.43743870726664,369214
2002-10-25,116.73436737060547,117.83248353092208,112.55675708638134,114.53813504997225,543559
2002-10-28,117.11634826660156,118.40543827465335,115.11109633350148,116.8776276249188,233236
2002-10-29,114.56201934814453,117.83249462110373,111.72124554453846,117.83249462110373,377029
2002-10-30,115.1111068725586,116.87763832571162,113.63103584454642,116.3524499518553,155257
2002-10-31,112.91485595703125,115.87499025870059,112.2225675995306,115.87499025870059,253562
2002-11-01,114.68138885498047,116.5434141345656,113.27293859919106,114.25169463632453,371886
2002-11-04,115.9704818725586,116.44792314380861,115.13495964787106,116.01822891375384,91077
2002-11-05,114.58592987060547,116.49569536844889,113.39232643445332,116.01825399398804,222859
2002-11-06,114.58592987060547,114.58592987060547,114.58592987060547,114.58592987060547,0
2002-11-07,114.65753936767578,118.38158342224447,113.63104336063162,115.06336743660597,325023
2002-11-08,120.74483489990234,121.22227593514937,114.70520871809637,114.7768219593146,756762
2002-11-11,119.14547729492188,123.17985480334507,118.21446822146669,121.74753091028292,592658
2002-11-12,124.39732360839844,125.32833996197103,118.88288247821252,119.21708992774258,643406
2002-11-13,124.70765686035156,127.38131612972369,123.22758611243827,125.32832463995219,547409
2002-11-14,121.62816619873047,124.85089484187641,120.84039100003177,124.13473292117732,225844
2002-11-15,120.67326354980469,124.1347122569702,120.31518264906342,121.74750625202846,413411
2002-11-18,121.65200805664062,123.1320712697544,120.79261251844693,121.74749483084572,322331
2002-11-19,121.65200805664062,121.65200805664062,121.65200805664062,121.65200805664062,0
2002-11-20,124.27798461914062,124.89866715152418,120.57782123214564,122.65468685122629,336527
2002-11-21,123.2991943359375,126.52192255188166,122.48753843859689,124.87474452448146,521969
2002-11-22,127.11875915527344,128.43172286485841,123.7050564244232,124.23024482232793,1113901
2002-11-25,135.1397247314453,136.7391556524913,126.64127726878608,127.71551996003873,1636261
2002-11-26,137.5508575439453,142.96981984728743,133.7313266968818,135.45011849213117,842073
2002-11-27,133.58802795410156,137.4791849832362,131.05759568700876,137.04947629191875,455129
2002-11-28,137.71791076660156,138.4579387490174,134.54291534245763,136.54817407661716,350652
2002-11-29,136.61981201171875,140.34386253768304,135.59331622898497,138.45796375494945,347933
2002-12-02,137.02561950683594,139.89026660453982,135.16360180739812,137.98050187273722,339824
2002-12-03,134.85328674316406,139.72317874562793,134.44745876703774,138.4579623485817,317099
2002-12-04,128.67042541503906,134.11325311221714,127.5006884467617,133.2061175910794,473822
2002-12-05,131.70216369628906,132.25121818624143,128.43168841912976,128.9091296400187,203107
2002-12-06,126.97547912597656,133.18221404935272,121.58038541191031,132.25119798270728,1253372
2002-12-09,123.87215423583984,128.64656735619826,123.17985850524687,123.17985850524687,437418
2002-12-10,125.7580337524414,127.11874435253897,123.1798536824603,124.13473626914605,469044
2002-12-11,124.34957122802734,127.90649956483139,124.11085061869755,127.90649956483139,233079
2002-12-12,124.3257064819336,126.04449800516525,124.13473288387486,124.61217416419746,223280
